Image,Mean_Color,Num_Contours,Num_Edges,Text
7.jpg,"[120.43433115433673, 118.59078045280613, 129.83171237244898]",1,1412700,
70.jpg,"[121.24844547193878, 119.93181999362245, 131.70406170280611]",1,1304580,
71.jpg,"[121.49541613520408, 120.03384088010205, 131.89070471938774]",1,1302285,
72.jpg,"[121.25249123086735, 119.6812818877551, 132.75330835459184]",1,1354815,
73.jpg,"[121.0916972257653, 119.43152104591837, 132.53627232142858]",1,1308660,
74.jpg,"[121.16212930484694, 119.5045240752551, 132.8357780612245]",1,1176825,
75.jpg,"[121.61716757015306, 119.77309869260205, 133.34584263392858]",1,1138830,
76.jpg,"[122.38263313137755, 121.13665896045919, 134.39367426658163]",1,1083750,
77.jpg,"[121.64038584183673, 121.0049824617347, 133.93018574617346]",1,1088085,
78.jpg,"[120.7739556760204, 120.26588408801021, 132.47165975765307]",1,1117920,
79.jpg,"[119.5741191007653, 119.35076530612245, 131.01371173469389]",1,1182945,
8.jpg,"[119.36617107780613, 117.64315609056122, 128.5081114477041]",1,1436670,
80.jpg,"[119.45549665178571, 119.25599888392857, 130.55815529336735]",1,1062585,
81.jpg,"[118.9937818877551, 118.88068000637755, 129.72381218112244]",1,1058760,
82.jpg,"[118.7457350127551, 118.81339684311224, 129.11403858418367]",1,1029945,
83.jpg,"[118.3774713010204, 118.92059948979592, 129.47156010841837]",1,980730,
84.jpg,"[118.15854193239795, 118.87613600127551, 129.71438536352042]",1,1007250,
85.jpg,"[118.52826052295919, 119.07481664540816, 130.10805963010205]",1,1077375,
86.jpg,"[117.70252710459184, 118.28633211096938, 129.1249003507653]",1,999345,
87.jpg,"[116.71629862882654, 117.29458306760205, 128.2375039859694]",1,1003170,
88.jpg,"[115.63460618622449, 116.23881935586735, 127.45228794642857]",1,1000110,
89.jpg,"[116.47975127551021, 116.90314094387755, 127.89568718112245]",1,1057995,
9.jpg,"[119.34309231505102, 117.58533960459184, 128.56246014030611]",1,1409640,
90.jpg,"[116.76257573341837, 117.21362802933673, 128.16527822066325]",1,1089615,
91.jpg,"[115.61798469387755, 116.45609454719387, 126.78242586096938]",1,1045500,
92.jpg,"[114.43484933035714, 114.82603236607143, 125.68710140306122]",1,1047795,
93.jpg,"[113.25577965561224, 113.99158960459184, 124.76550542091837]",1,1025865,
94.jpg,"[112.79125478316327, 113.13434709821429, 124.39204001913265]",1,1006995,
95.jpg,"[111.11100924744898, 111.90726642219387, 123.04105548469387]",1,1075590,
96.jpg,"[110.75245137117346, 111.10744180484694, 122.63157684948979]",1,1045500,
97.jpg,"[110.75245137117346, 111.10744180484694, 122.63157684948979]",1,1045500,
98.jpg,"[108.83121412627551, 110.02804129464286, 121.22552614795919]",1,1057740,
99.jpg,"[108.05265465561224, 108.95573580994898, 120.34865274234694]",1,1043205,
